ANNUAL,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,YEAR
61.89,6.82,3.74,5.41,2.68,2.02,4.96,3.18,2.97,2.79,12.68,3.78,10.86,1932
64.13,3.91,6.39,10.29,8.17,7.14,6.58,4.89,2.65,4.3,3.03,3.62,3.16,1912
66.81,3.82,9.16,9.03,5.73,3.66,2.97,1.62,1.35,12.95,7.58,5.5,3.44,1929
72.53,4.73,6.65,4.25,3.89,1.45,4.56,9.25,19.52,3.82,6.14,3.09,5.18,1908
78.85,4.55,3.38,8.68,7.13,7.48,7.99,4.51,16.76,7.35,0.82,0.68,9.52,1901
55.3,2.74,3.08,5.53,5.88,5.63,1.41,7.04,3.55,8.2,7.32,1.64,3.28,1959
48.46,5.6,5.65,5.65,1.91,2.16,4.38,4.33,5.48,4.76,4.74,0.54,3.26,1960
55.87,2.39,8.34,4.54,4.84,2.6,4.24,5.03,8.46,1.49,0.9,2.94,10.1,1961
52.98,4.65,4.71,8.92,5.37,1.48,7.03,3.57,3.88,2.28,3.24,4.47,3.38,1962
47.09,3.93,3.25,9.66,5.95,3.06,4.73,2.46,1.16,4.68,0.24,4.19,3.78,1963
70.41,5.44,4.67,7.11,11.3,1.59,8.07,7.44,6.64,0.93,10.24,3.36,3.62,1964
45.66,2.39,5.22,7.6,4.93,1.09,8.62,3.13,3.57,2.32,3.6,2.82,0.37,1965
48.94,4.64,6.78,3.26,2.53,3.06,3.84,2.98,5.01,7.98,3.78,1.93,3.15,1966
48.14,3.97,3.32,1.98,2.36,4.97,4.87,3.86,7.51,2.05,2.35,3.5,7.4,1967
43.18,4.12,1,3.68,2.4,3.93,5.71,6.92,1.31,3.04,2.82,5.07,3.18,1968
55.04,3.94,5.24,4.56,7.18,1.93,9.59,3.17,6.53,3.68,2.38,2.24,4.6,1969
37.51,1.74,3.74,3.45,2.94,3.13,3.6,2.31,3.59,1.34,7.02,1.77,2.88,1970
56.16,3.33,7.43,5.52,3.09,5.72,2.19,5.64,2.44,3.28,9.51,4.22,3.79,1971
58.12,6.14,3.04,4.59,2.28,8.89,8.16,4.18,3.21,2.2,3.44,5.31,6.68,1972
54.6,4.33,4.88,8.73,4.04,5.59,3.87,3.7,2.03,7.56,0.98,1.34,7.55,1973
44.26,4.24,4.9,3.26,4.06,5.45,3.78,3.23,4.03,3.76,0.24,4.81,2.5,1974
68.33,5.42,5.78,8.64,1.14,7.81,5.39,4.79,3.21,11.65,7.45,3.98,3.07,1975
59.11,4.49,2.15,7.3,0.69,8.1,2.81,5.75,2.09,8.28,8.49,2.75,6.21,1976
52.42,3.53,2,8.47,3.23,2.71,2.88,0.8,4.99,9.44,6.39,4.43,3.55,1977
41.02,6.93,0.53,6.09,2.97,4.84,3.51,6.77,2.98,0.27,0.81,1.93,3.39,1978
66.06,7.19,6.11,4.19,10.15,5.69,3.74,8.66,4.34,7.5,3.33,3.91,1.25,1979
50.73,4.28,1.19,11.37,3.47,5.92,6.72,1.05,3.33,5.82,2.83,4.11,0.64,1980
35.49,0.29,3.86,3.22,0.88,4.15,1.29,5.3,1.17,2.08,4.4,1.66,7.19,1981
56.2,6.27,5.21,2.77,4.57,6.18,3.32,12.52,1.66,1.44,3.07,4.17,5.02,1982
54.13,2.7,5.26,6.26,4.66,5.8,4.67,1.13,3.27,3.59,3.05,5.29,8.45,1983
57.89,3.04,7.04,5.67,4.76,8.3,3.07,13.57,4,1.34,2.28,2.6,2.22,1984
44.96,4.94,4.29,1.13,1.31,2.42,2.85,6.96,5.93,1.62,4.55,7.52,1.44,1985
39.34,1.1,1.46,2.64,1.1,6.34,0.93,1.63,5.93,2.56,6.11,5.37,4.17,1986
44.78,4.65,7.33,5.01,2.3,1.31,6.68,3.58,2.79,3.33,0.37,2.81,4.62,1987
38.21,3.91,1.79,3.67,3.41,1.96,3.25,2.18,3.93,4.57,3.38,4.26,1.9,1988
50.55,1.51,4.93,4.48,3.15,3.64,6,5.11,4.71,5.42,3.1,3.74,4.76,1989
49.41,4.37,5.97,6.67,2.22,2.7,0.9,3.61,6.21,2.12,9.45,1.93,3.26,1990
47.25,4.72,2.24,5.82,5.65,6.37,1.72,5.74,9.02,1.44,0.24,1.39,2.9,1991
60.58,2.5,6.12,5.45,4.81,5.03,4.97,2.66,5.54,4.3,6.27,7.85,5.08,1992
39.25,7.19,3.56,10.27,2.91,3.08,0.17,0.75,0.87,1.71,2.07,3.73,2.94,1993
51.39,4.24,3.47,4.46,2.61,1.44,10.12,6.56,5.76,2.06,4.28,2.43,3.96,1994
60.08,6.42,5.08,2.3,1.58,4.53,4.84,2.69,17.37,2.13,5.96,5.13,2.05,1995
53.7,5.54,3.75,7.64,3.09,5,4.03,4.43,6.27,4.62,0.82,4.34,4.17,1996
50.06,4.82,6.07,2.67,4.11,3.37,6.02,6.02,0.92,3.26,4.85,3.7,4.25,1997
51.98,6.76,6.94,4.31,9.15,1.77,3.8,3.27,2.27,4.31,2.77,2.39,4.24,1998
35.93,3.84,2.84,2.33,3.95,1.37,4.67,1.95,0.79,3.04,5.86,2.67,2.62,1999
35.04,3.72,1.87,4.35,4.7,2.19,1.31,5.23,1.42,4.24,0,4.06,1.95,2000
40.38,3.01,2.31,6.69,1.1,2.14,3.77,6.01,1.01,6.74,3.39,1.98,2.23,2001
47.85,4.86,1.39,5.11,0.74,3.84,0.52,4.41,4.23,7.2,4.66,4.42,6.47,2002
63.11,1.91,4.02,6.71,7.13,7.64,6.24,8.03,11.34,1.72,2.07,3.64,2.66,2003
47.7,1.36,4.52,1.26,1.84,3.33,5.32,4.74,3.19,11.12,0.89,3.65,6.48,2004
