ANNUAL,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,YEAR
59.3,38.9,45.3,47.8,58.1,69.7,75,78.4,76.1,69.8,60.2,47.4,45.2,1996
59.7,42.7,47.6,57.2,56.5,64.7,71.4,78.7,76.6,72,60.3,46.9,41.9,1997
62.4,45.4,47.1,49.5,58.9,71.4,77.5,80.9,78.5,74.2,63.4,54.1,48.2,1998
61.9,45.5,47.4,48.6,62.9,67.5,74.1,79.9,81.5,72,61.1,56.3,46.1,1999
61.2,41.5,48.7,56.1,57.5,71.5,77.5,80.5,79.2,71.5,64.3,50.5,35.8,2000
61,41.7,48.3,49.5,62,68.8,75,76.6,78.6,68.5,58,56.7,48.2,2001
61.3,44.2,45,52.5,64.5,66.4,77,80.5,78.5,73.2,62.4,49.5,42.4,2002
60.1,39.8,43.8,54.7,59.3,67,73.4,77,77.5,70.7,60.5,56,41.2,2003
60.9,41.4,41.7,55.3,60.2,72.5,75.7,77.8,75.1,70.8,63.8,53.9,43,2004
61.3,45.8,46.5,50.3,59.2,65.5,74.6,79.6,79.5,76.2,63.9,52.8,41.6,2005
62,48.5,44.3,52.9,64.8,67.6,76.3,79.9,79.8,70.2,59,52.6,48.5,2006
63.2,45,42.9,58.1,59.9,68.6,77.3,77.5,84.7,75.9,66.5,51.9,49.6,2007
61.6,42,47.8,52.8,60.4,68.4,80.6,80.5,78.8,72.8,59.8,48.7,46.8,2008
60.9,42.1,46,52.5,60.8,69.7,78,78.4,78.9,71.8,59.1,53.6,40.2,2009
61.1,38.1,38.9,50.8,63.9,71.6,80.7,82.1,80.2,75.1,63.3,52.2,36.2,2010
62.5,38.7,48.4,52.9,63.5,69.8,79.5,82.1,81.4,72.5,59.6,53,48.6,2011
63.1,45.4,48,62.5,62.5,71.7,75.5,81.7,76.7,72,61.1,50.7,49.5,2012
60.4,46.9,43.8,46.9,60.8,66.3,76.3,77.3,76,72.1,62.5,48.8,46.9,2013
60.5,36.1,46.5,49.4,61.6,70.4,77.6,77.2,76.7,72.6,62.7,47.7,47.8,2014
62.8,41.6,38.5,55.1,63.4,71.5,78.9,81.8,79.1,72.8,60.2,55.4,55.2,2015
63.4,40.3,44.7,58.2,62,68.6,79.1,82.7,80.7,77.2,66,55.7,45.6,2016
63.1,48.7,53.9,53.9,65.2,68.7,75.2,80.2,78,72.2,63.5,53.4,44.8,2017
62.1,38.1,53.6,50.6,58.4,73,78.6,78.7,78.4,78.1,64.2,47.8,45.3,2018
63.3,43.7,50.4,51.4,62.9,74.1,75.9,80.2,78.5,79.1,66.5,49.3,47.1,2019
61.9,45.5,47.2,57.3,60.1,65,75.4,80.9,79,70.4,63,55.3,43.1,2020
61.6,42.7,43.6,55.1,59.9,67.1,75.4,78.9,79,71.7,64.6,49,52.3,2021
61.3,40.5,47,55.2,59.9,71.1,77.4,81.3,78.2,70.9,58.4,53.2,42.6,2022
62.2,47.7,53.1,54.6,60.3,66.4,72.2,80,78.9,72.9,62.5,51.7,46.5,2023
